TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_QUAL,OBS_TYPE,IDBANK,FREQ,TITLE_FR,TITLE_EN,LAST_UPDATE,UNIT_MEASURE,UNIT_MULT,REF_AREA,DECIMALS,OBS_REV,DATE,nomflow,cleFlow,INDICATEUR,NATURE,CORRECTION,FREQ_label_fr,FREQ_label_en,INDICATEUR_label_fr,INDICATEUR_label_en,NATURE_label_fr,NATURE_label_en,REF_AREA_label_fr,REF_AREA_label_en,UNIT_MEASURE_label_fr,UNIT_MEASURE_label_en,CORRECTION_label_fr,CORRECTION_label_en,OBS_STATUS_label_fr,OBS_STATUS_label_en,OBS_REV_label_fr,OBS_REV_label_en,OBS_TYPE_label_fr,OBS_TYPE_label_en,OBS_QUAL_label_fr,OBS_QUAL_label_en,REGION
1982-Q1,7.0,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1982-01-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1982-Q2,7.2,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1982-04-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1982-Q3,7.2,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1982-07-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1982-Q4,7.0,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1982-10-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1983-Q1,6.7,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1983-01-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1983-Q2,6.6,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1983-04-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1983-Q3,6.8,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1983-07-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1983-Q4,7.1,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1983-10-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1984-Q1,7.6,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1984-01-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
1984-Q2,8.1,A,DEF,A,1515935,T,Taux de chômage localisé par département - Haute-Saône,Unemployment rates localized by department - Haute-Saône,2025-12-19,POURCENT,0,D70,1,,1984-04-01 00:00:00,TAUX-CHOMAGE,T.TAUX_CHOMAGE_LOCALISE.PROPORTION.D70.POURCENT.CVS,TAUX_CHOMAGE_LOCALISE,PROPORTION,CVS,Trimestrielle,Quarterly,Taux de chômage localisé,Unemployment rates localized,Proportion,Proportion,70 - Haute-Saône,70 - Haute-Saône,%,%,Corrigé des variations saisonnières,Seasonal adjusted,Valeur normale,Normal value,,,Valeur normale,Normal value,Valeur définitive,Final value,Bourgogne-Franche-Comté
